Ticker,Name,Sector,Industry
A,Agilent Technologies Inc.,Healthcare,Diagnostics & Research
AAPL,Apple Inc.,Technology,Consumer Electronics
AAPL,Apple Inc.,Technology,Consumer Electronics
AAPL,Apple Inc.,Technology,Consumer Electronics
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General
ABNB,Airbnb Inc.,Consumer Cyclical,Travel Services
ABNB,Airbnb Inc.,Consumer Cyclical,Travel Services
ABT,Abbott Laboratories,Healthcare,Medical Devices
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified
ACN,Accenture plc,Technology,Information Technology Services
ADBE,Adobe Inc.,Technology,Software - Application
ADBE,Adobe Inc.,Technology,Software - Application
ADI,Analog Devices Inc.,Technology,Semiconductors
ADI,Analog Devices Inc.,Technology,Semiconductors
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products
ADP,Automatic Data Processing Inc.,Technology,Software - Application
ADP,Automatic Data Processing Inc.,Technology,Software - Application
ADSK,Autodesk Inc.,Technology,Software - Application
ADSK,Autodesk Inc.,Technology,Software - Application
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric
AEP,American Electric Power Company Inc.,Utilities,Utilities - Regulated Electric
AEP,American Electric Power Company Inc.,Utilities,Utilities - Regulated Electric
AES,The AES Corporation,Utilities,Utilities - Diversified
AFL,Aflac Incorporated,Financial Services,Insurance - Life
AIG,American International Group Inc.,Financial Services,Insurance - Diversified
AIZ,Assurant Inc.,Financial Services,Insurance - Property & Casualty
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers
AKAM,Akamai Technologies Inc.,Technology,Software - Infrastructure
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals
ALGN,Align Technology Inc.,Healthcare,Medical Instruments & Supplies
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty
ALLE,Allegion plc,Industrials,Security & Protection Services
AMAT,Applied Materials Inc.,Technology,Semiconductor Equipment & Materials
AMAT,Applied Materials Inc.,Technology,Semiconductor Equipment & Materials
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers
AMD,Advanced Micro Devices Inc.,Technology,Semiconductors
AMD,Advanced Micro Devices Inc.,Technology,Semiconductors
AME,AMETEK Inc.,Industrials,Specialty Industrial Machinery
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General
AMP,Ameriprise Financial Inc.,Financial Services,Asset Management
AMT,American Tower Corporation,Real Estate,REIT - Specialty
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail
ANET,Arista Networks Inc,Technology,Computer Hardware
AON,Aon plc,Financial Services,Insurance Brokers
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery
APA,APA Corporation,Energy,Oil & Gas E&P
APD,Air Products and Chemicals Inc.,Basic Materials,Specialty Chemicals
APH,Amphenol Corporation,Technology,Electronic Components
APO,Apollo Global Management Inc.,Financial Services,Asset Management
APP,AppLovin Corporation,Communication Services,Advertising Agencies
APP,AppLovin Corporation,Communication Services,Advertising Agencies
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts
ARE,Alexandria Real Estate Equities Inc.,Real Estate,REIT - Office
ARM,Arm Holdings plc,Technology,Semiconductors
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas
AVB,AvalonBay Communities Inc.,Real Estate,REIT - Residential
AVGO,Broadcom Inc.,Technology,Semiconductors
AVGO,Broadcom Inc.,Technology,Semiconductors
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers
AWK,American Water Works Company Inc.,Utilities,Utilities - Regulated Water
AXON,Axon Enterprise Inc.,Industrials,Aerospace & Defense
AXON,Axon Enterprise Inc.,Industrials,Aerospace & Defense
AXP,American Express Company,Financial Services,Credit Services
AXP,American Express Company,Financial Services,Credit Services
AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General
AZO,AutoZone Inc.,Consumer Cyclical,Auto Parts
BA,The Boeing Company,Industrials,Aerospace & Defense
BA,The Boeing Company,Industrials,Aerospace & Defense
BAC,Bank of America Corporation,Financial Services,Banks - Diversified
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies
BBY,Best Buy Co. Inc.,Consumer Cyclical,Specialty Retail
BDX,Becton Dickinson and Company,Healthcare,Medical Instruments & Supplies
BEN,Franklin Resources Inc.,Financial Services,Asset Management
BF-B,Brown-Forman Corporation Class B,Consumer Defensive,Beverages - Brewers
BG,Bunge Global SA,Consumer Defensive,Farm Products
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General
